"nest_id","maleplumage","season","laying_date","lay_day","november"
"LSP2122018","black-white","2021-22","31/12/2021",61,"01/11/2021"
"LSP2122020","black-white","2021-22","24/12/2021",54,"01/11/2021"
"LSP2122021","black-white","2021-22","22/12/2021",52,"01/11/2021"
"LSP2122022","black-white","2021-22","20/12/2021",50,"01/11/2021"
"LSP2122023","black-white","2021-22","31/12/2021",61,"01/11/2021"
"LSP2122025","brown","2021-22","24/12/2021",54,"01/11/2021"
"LSP2122026","brown","2021-22","28/12/2021",58,"01/11/2021"
"LSP2122027","black-white","2021-22","21/12/2021",51,"01/11/2021"
"LSP2122028","brown","2021-22","26/12/2021",56,"01/11/2021"
"LSP2122029","black-white","2021-22","25/12/2021",55,"01/11/2021"
"LSP2122030","black-white","2021-22","27/12/2021",57,"01/11/2021"
"LSP2122036","black-white","2021-22","01/01/2022",62,"01/11/2021"
"LSP2122037","black-white","2021-22","03/01/2022",64,"01/11/2021"
"LSP2122038","black-white","2021-22","02/01/2022",63,"01/11/2021"
"LSP2122040","black-white","2021-22","03/01/2022",64,"01/11/2021"
"LSP2122043","black-white","2021-22","05/01/2022",66,"01/11/2021"
"LSP2122044","black-white","2021-22","10/01/2022",71,"01/11/2021"
"LSP2122047","brown","2021-22","15/01/2022",76,"01/11/2021"
"LSP2122048","black-white","2021-22","16/01/2022",77,"01/11/2021"
"LSP2122055","brown","2021-22","15/01/2022",76,"01/11/2021"
"LSP2122059","black-white","2021-22","14/01/2022",75,"01/11/2021"
"LSP2122063","black-white","2021-22","18/01/2022",79,"01/11/2021"
"LSP2122064","brown","2021-22","13/01/2022",74,"01/11/2021"
"LSP2122066","black-white","2021-22","20/01/2022",81,"01/11/2021"
"LSP2122067","black-white","2021-22","19/01/2022",80,"01/11/2021"
"LSP2122070","black-white","2021-22","22/01/2022",83,"01/11/2021"
"LSP2122071","black-white","2021-22","23/01/2022",84,"01/11/2021"
"LSP2122072","black-white","2021-22","19/01/2022",80,"01/11/2021"
"LSP2122073","brown","2021-22","23/01/2022",84,"01/11/2021"
"LSP2122074","brown","2021-22","19/01/2022",80,"01/11/2021"
"LSP2122076","black-white","2021-22","21/01/2022",82,"01/11/2021"
"LSP2122077","brown","2021-22","21/01/2022",82,"01/11/2021"
"LSP2122079","black-white","2021-22","21/01/2022",82,"01/11/2021"
"LSP2122080","brown","2021-22","21/01/2022",82,"01/11/2021"
"LSP2122081","brown","2021-22","23/01/2022",84,"01/11/2021"
"LSP2122082","brown","2021-22","24/01/2022",85,"01/11/2021"
"LSP2122083","black-white","2021-22","25/01/2022",86,"01/11/2021"
"LSP2122085","black-white","2021-22","29/01/2022",90,"01/11/2021"
"LSP2122086","black-white","2021-22","31/01/2022",92,"01/11/2021"
"LSP2122087","black-white","2021-22","29/01/2022",90,"01/11/2021"
"LSP2122091","black-white","2021-22","04/02/2022",96,"01/11/2021"
"LSP2122092","black-white","2021-22","05/02/2022",97,"01/11/2021"
"LSP2122094","black-white","2021-22","11/02/2022",103,"01/11/2021"
"LSP2122096","brown","2021-22","03/02/2022",95,"01/11/2021"
"LSP2122097","black-white","2021-22","17/02/2022",109,"01/11/2021"
"LSP2122099","black-white","2021-22","07/02/2022",99,"01/11/2021"
"LSP2122101","brown","2021-22","14/02/2022",106,"01/11/2021"
"LSP2122102","black-white","2021-22","11/02/2022",103,"01/11/2021"
"LSP2122107","black-white","2021-22","19/02/2022",111,"01/11/2021"
"LSP2122108","brown","2021-22","18/02/2022",110,"01/11/2021"
"LSP2122110","black-white","2021-22","24/02/2022",116,"01/11/2021"
"LSP2122111","brown","2021-22","23/02/2022",115,"01/11/2021"
"LSP2122112","black-white","2021-22","24/02/2022",116,"01/11/2021"
"LSP2122113","black-white","2021-22","23/02/2022",115,"01/11/2021"
"LSP2122114","black-white","2021-22","26/02/2022",118,"01/11/2021"
"LSP2122115","black-white","2021-22","22/02/2022",114,"01/11/2021"
"LSP2122116","black-white","2021-22","26/02/2022",118,"01/11/2021"
"LSP2122117","black-white","2021-22","05/03/2022",125,"01/11/2021"
"LSP2122118","brown","2021-22","04/03/2022",124,"01/11/2021"
"LSP2122119","black-white","2021-22","04/03/2022",124,"01/11/2021"
"LSP2122120","brown","2021-22","10/03/2022",130,"01/11/2021"
"LSP2122121","black-white","2021-22","04/03/2022",124,"01/11/2021"
"LSP2122124","black-white","2021-22","07/03/2022",127,"01/11/2021"
"LSP2122125","black-white","2021-22","04/03/2022",124,"01/11/2021"
"LSP2122126","brown","2021-22","04/03/2022",124,"01/11/2021"
"LSP2122127","black-white","2021-22","09/03/2022",129,"01/11/2021"
"LSP2122128","black-white","2021-22","09/03/2022",129,"01/11/2021"
