"odd_hatch","Incube_day","maleplumage","clutch_size","ring_number_female","season","incube_date","november"
0,56,"black-white",2,"UFVCAF000334","2019_20","27/12/2019","01/11/2019"
0,56,"black-white",2,"UFVCAF000329","2019_20","27/12/2019","01/11/2019"
0,56,"black-white",3,"UFVCAF000281","2019_20","27/12/2019","01/11/2019"
0,56,"black-white",2,"UFVCAF000201","2019_20","27/12/2019","01/11/2019"
1,56,"black-white",3,"UFVCAF000270","2019_20","27/12/2019","01/11/2019"
1,56,"black-white",3,"UFVCAF000281","2020-21","27/12/2020","01/11/2020"
1,56,"black-white",3,"UFVCAF000841","2021-22","27/12/2021","01/11/2021"
0,56,"black-white",3,"UFVCAF000404","2021-22","27/12/2021","01/11/2021"
0,55,"black-white",3,"UFVCAF000014","2017_2018","26/12/2017","01/11/2017"
1,55,"black-white",3,"UFVCAF000004","2017_2018","26/12/2017","01/11/2017"
0,55,"black-white",3,"UFVCAF000172","2018_19","26/12/2018","01/11/2018"
1,55,"black-white",3,"UFVCAF000368 ","2020-21","26/12/2020","01/11/2020"
1,54,"black-white",3,"UFVCAF000324","2019_20","25/12/2019","01/11/2019"
0,54,"black-white",2,"UFVCAF000525","2021-22","25/12/2021","01/11/2021"
1,53,"black-white",2,"UFVCAF000348","2019_20","24/12/2019","01/11/2019"
1,53,"black-white",3,"UFVCAF000201","2020-21","24/12/2020","01/11/2020"
1,52,"black-white",3,"UFVCAF000363","2020-21","23/12/2020","01/11/2020"
1,51,"black-white",3,"UFVCAF000504","2020-21","22/12/2020","01/11/2020"
1,51,"black-white",3,"UFVCAF000669","2021-22","22/12/2021","01/11/2021"
0,50,"black-white",2,"UFVCAF000565","2020-21","21/12/2020","01/11/2020"
1,49,"black-white",2,"UFVCAF000328","2019_20","20/12/2019","01/11/2019"
1,49,"black-white",2,"UFVCAF000347","2020-21","20/12/2020","01/11/2020"
1,49,"black-white",3,"UFVCAF000673","2021-22","20/12/2021","01/11/2021"
0,49,"black-white",2,"UFVCAF000444","2021-22","20/12/2021","01/11/2021"
0,49,"black-white",3,"UFVCAF000401","2021-22","20/12/2021","01/11/2021"
1,48,"black-white",3,"UFVCAF000249","2018_19","19/12/2018","01/11/2018"
0,48,"black-white",3,"UFVCAF000672","2021-22","19/12/2021","01/11/2021"
1,47,"black-white",2,"UFVCAF000166","2018_19","18/12/2018","01/11/2018"
1,47,"black-white",3,"UFVCAF000073","2018_19","18/12/2018","01/11/2018"
1,45,"black-white",2,"UFVCAF000281","2018_19","16/12/2018","01/11/2018"
1,45,"black-white",3,"UFVCAF000181","2018_19","16/12/2018","01/11/2018"
1,45,"black-white",3,"UFVCAF000441","2021-22","16/12/2021","01/11/2021"
1,44,"black-white",3,"UFVCAF000105","2018_19","15/12/2018","01/11/2018"
1,43,"black-white",2,"UFVCAF000125","2018_19","14/12/2018","01/11/2018"
1,40,"black-white",2,"UFVCAF000169","2018_19","11/12/2018","01/11/2018"
0,40,"black-white",2,"UFVCAF000439","2021-22","11/12/2021","01/11/2021"
0,40,"black-white",3,"UFVCAF000013","2021-22","11/12/2021","01/11/2021"
0,39,"black-white",2,"UFVCAF000201","2021-22","10/12/2021","01/11/2021"
1,132,"brown",2,"UFVCAF000056","2017_2018","13/03/2018","01/11/2017"
1,122,"brown",2,"UFVCAF000058","2018_19","03/03/2019","01/11/2018"
1,119,"brown",2,"UFVCAF000118","2017_2018","28/02/2018","01/11/2017"
1,119,"brown",2,"UFVCAF000281","2017_2018","28/02/2018","01/11/2017"
1,110,"brown",2,"UFVCAF000205","2018_19","19/02/2019","01/11/2018"
1,108,"brown",2,"UFVCAF000734","2019_20","17/02/2020","01/11/2019"
1,105,"brown",2,"UFVCAF000115","2017_2018","14/02/2018","01/11/2017"
0,102,"brown",3,"UFVCAF000092","2017_2018","11/02/2018","01/11/2017"
0,98,"brown",2,"UFVCAF000745","2019_20","07/02/2020","01/11/2019"
1,97,"brown",2,"UFVCAF000723","2019_20","06/02/2020","01/11/2019"
0,95,"brown",2,"UFVCAF000438","2021-22","04/02/2022","01/11/2021"
0,94,"brown",2,"UFVCAF000520","2020-21","03/02/2021","01/11/2020"
1,93,"brown",2,"UFVCAF000796","2019_20","02/02/2020","01/11/2019"
1,90,"brown",3,"UFVCAF000764","2019_20","30/01/2020","01/11/2019"
1,80,"brown",2,"UFVCAF000761","2019_20","20/01/2020","01/11/2019"
0,78,"brown",3,"UFVCAF000745","2019_20","18/01/2020","01/11/2019"
1,75,"brown",2,"UFVCAF000513","2020-21","15/01/2021","01/11/2020"
1,74,"brown",3,"UFVCAF000709","2019_20","14/01/2020","01/11/2019"
1,73,"brown",2,"UFVCAF000260","2018_19","13/01/2019","01/11/2018"
1,72,"brown",3,"UFVCAF000041","2018_19","12/01/2019","01/11/2018"
0,71,"brown",3,"UFVCAF000719","2019_20","11/01/2020","01/11/2019"
0,70,"brown",2,"UFVCAF000727","2019_20","10/01/2020","01/11/2019"
1,69,"brown",3,"UFVCAF000723","2019_20","09/01/2020","01/11/2019"
0,65,"brown",2,"UFVCAF000569","2020-21","05/01/2021","01/11/2020"
0,64,"brown",2,"UFVCAF000391","2019_20","04/01/2020","01/11/2019"
0,63,"brown",2,"UFVCAF000195","2018_19","03/01/2019","01/11/2018"
1,63,"brown",2,"UFVCAF000567","2020-21","03/01/2021","01/11/2020"
1,54,"brown",3,"UFVCAF000115","2018_19","25/12/2018","01/11/2018"
1,54,"brown",3,"UFVCAF000000","2018_19","25/12/2018","01/11/2018"
1,52,"brown",3,"UFVCAF000250","2018_19","23/12/2018","01/11/2018"
0,47,"brown",2,"UFVCAF000438","2021-22","18/12/2021","01/11/2021"
