"nest_id","clutch_size","egg_number","maleplumage","ring_female","cc_female","season","layday","laydate","L_egg","W_egg","egg_vol","november","Laying_Day"
"LSP1819068",3,2,"black-white"," UFVCAF000237","al dg og og ","2018_19",77,"16/01/2019",16.51,12.6,1336.775076,"01/11/2018",77
"LSP1819068",3,3,"black-white"," UFVCAF000237","al dg og og ","2018_19",77,"16/01/2019",16.33,13.08,1424.858865,"01/11/2018",77
"LSP1819085",2,1,"black-white","UFVCAF000202","al bl db ye","2018_19",91,"30/01/2019",18.36,12.28,1412.015898,"01/11/2018",91
"LSP1819085",2,2,"black-white","UFVCAF000202","al bl db ye","2018_19",91,"30/01/2019",18.7,12.81,1564.984506,"01/11/2018",91
"LSP1819090",2,1,"black-white","UFVCAF000181","al lb ye ye","2018_19",86,"25/01/2019",17.28,12.32,1337.627935,"01/11/2018",86
"LSP1819090",2,2,"black-white","UFVCAF000181","al lb ye ye","2018_19",86,"25/01/2019",16.98,12.28,1305.883984,"01/11/2018",86
"LSP1819093",2,1,"black-white","UFVCAF000206","al wh wh ye","2018_19",105,"13/02/2019",15.91,12.53,1273.921003,"01/11/2018",105
"LSP1819093",2,2,"black-white","UFVCAF000206","al wh wh ye","2018_19",105,"13/02/2019",17.35,12.8,1449.73824,"01/11/2018",105
"LSP1819096",2,1,"black-white","UFVCAF258","al pu og og","2018_19",104,"12/02/2019",18.18,13.2,1615.518432,"01/11/2018",104
"LSP1819096",2,2,"black-white","UFVCAF259","al pu og og","2018_19",104,"12/02/2019",18.39,12.89,1558.323931,"01/11/2018",104
"LSP1819100",2,1,"brown","UFVCAF000205","al re db og","2018_19",110,"18/02/2019",16.99,12.7,1397.561721,"01/11/2018",110
"LSP1819100",2,2,"brown","UFVCAF000205","al re db og","2018_19",110,"18/02/2019",16.96,12.42,1334.256157,"01/11/2018",110
"LSP1819107",2,1,"black-white","UFVCAF000181","al lb ye ye ","2018_19",111,"19/02/2019",17.58,12.51,1403.148597,"01/11/2018",111
"LSP1819107",2,2,"black-white","UFVCAF000181","al lb ye ye ","2018_19",111,"19/02/2019",17.18,12.16,1295.568814,"01/11/2018",111
"LSP1819108",3,1,"black-white","UFVCAF000202","al bl db ye","2018_19",115,"23/02/2019",16.39,12.47,1299.816473,"01/11/2018",115
"LSP1819108",3,2,"black-white","UFVCAF000202","al bl db ye","2018_19",115,"23/02/2019",16.51,12.41,1296.763603,"01/11/2018",115
"LSP1819108",3,3,"black-white","UFVCAF000202","al bl db ye","2018_19",115,"23/02/2019",16.25,12.39,1272.231529,"01/11/2018",115
"LSP1819111",3,1,"black-white","UFVCAF000281","al db db lg","2018_19",114,"22/02/2019",17.75,12.9,1506.426525,"01/11/2018",114
