date,year,avr_temp,max_temp,min_temp,avr_rH,max_rH,min_rH,avr_dewp,max_dewp,min_dewp,avr_hPa,max_hPa,min_hPa,avr_wind_vel,avr_radiation,tot_prec
25/03/2013,2013,20.90416667,24,18,0.890833333,0.96,0.74,18.95833333,20.6,17.3,928.95,931.5,926.9,0.470833333,868.7538462,1
16/04/2020,2020,20.71666667,23.6,18.9,0.900416667,0.95,0.74,18.95416667,21.1,17.6,933.0166667,935.1,930.9,0.166666667,506.5083333,3.4
07/05/2020,2020,19.29166667,21.9,17.7,0.884166667,0.95,0.74,17.275,18.7,15.4,930.4833333,932.6,928.7,0.4625,308.9583333,2.2
01/12/2018,2018,21.125,24.6,19.5,0.890416667,0.94,0.74,19.225,20.8,18.3,925.0375,926.7,922.9,0.204166667,442.3153846,55.2
06/05/2017,2017,17.8625,23.4,13.5,0.877083333,0.93,0.74,15.75833333,19.1,12.2,931.4833333,933.2,930.3,0.275,570.0416667,4.6
21/05/2017,2017,20.39166667,25.5,17.4,0.8675,0.93,0.74,18.04166667,22.2,15.4,931.875,933.8,929.5,0.483333333,728.2833333,7.8
05/04/2013,2013,21.07916667,25.9,19.5,0.921666667,0.96,0.73,19.69583333,22.3,18.6,928.9958333,930.9,927,0.479166667,591.5153846,34.6
22/12/2013,2013,20.85416667,24.6,18.1,0.885,0.96,0.73,18.83333333,21.1,17.3,923.4375,925,921.6,0.65,797.8285714,4.8
26/11/2013,2013,20.175,23,18.5,0.899583333,0.95,0.73,18.42916667,19.6,17.3,926.7,929.8,923.2,0.7375,620.1642857,18.2
10/12/2020,2020,20.93333333,23.9,18.9,0.897916667,0.95,0.73,19.15416667,20.3,17.8,928.6916667,930.1,927.1,0.533333333,605.6714286,51
18/02/2022,2022,20.6375,25,19,0.897083333,0.95,0.73,18.8625,20.9,17.2,925.8041667,927.4,923.3,0.691666667,694.5307692,21
04/02/2018,2018,20.3,23,18.5,0.874583333,0.95,0.73,18.07083333,19.2,17.3,926.0958333,927.8,924.8,0.633333333,638.7538462,3.2
11/11/2021,2021,20.09583333,23.9,18.6,0.91125,0.94,0.73,18.57083333,20.1,17.6,930.4833333,932.7,928.1,0.704166667,316.3857143,45.4
16/04/2019,2019,22.12083333,28.3,20,0.885,0.93,0.73,20.06666667,23.5,18.4,930.9375,933.5,928,0.170833333,888.8166667,31.4
06/01/2023,2023,21.55833333,25.8,19.8,0.904166667,0.95,0.72,19.875,21.7,18.8,928.6416667,930.3,927.4,0.854166667,796.7571429,62.8
31/01/2022,2022,21.16956522,24.9,19.1,0.896521739,0.95,0.72,19.32608696,20.5,18.2,928.4521739,931,926.9,0.508695652,631.5916667,26.2
22/11/2017,2017,21.48333333,24.2,20.4,0.892083333,0.95,0.72,19.575,20.2,17.7,926.7375,928.4,925.5,0.7,598.2785714,6.2
17/05/2019,2019,18.84583333,21.7,16.9,0.886666667,0.95,0.72,16.85,18.2,15.7,932.275,933.7,931.1,0.25,424.3333333,2.8
03/12/2018,2018,20.85,24.3,18.5,0.881666667,0.95,0.72,18.775,20.9,17.5,924.45,926.4,923,1.108333333,698.6,50.4
12/11/2021,2021,18.87916667,21.7,16.6,0.872916667,0.95,0.72,16.67916667,18.1,15.3,929.9333333,931.5,928.4,1.2375,651.4785714,25.6
20/10/2020,2020,18.55416667,21.6,16.5,0.878333333,0.94,0.72,16.425,18,15.2,932.3333333,933.7,930.7,0.216666667,436.4153846,18.4
24/10/2020,2020,19.52083333,21.5,18.7,0.828333333,0.94,0.72,16.47916667,18.4,14.8,929.8791667,932.1,927.6,0.454166667,338.7461538,18.4
16/05/2017,2017,21.28333333,27.6,17.9,0.86125,0.92,0.72,18.82916667,23.4,16.2,929.5583333,931.4,928,0.6875,810.9583333,0.4
08/12/2013,2013,21.43333333,25.8,18.8,0.89625,0.96,0.71,19.6125,21.4,18.1,928.8791667,930.5,927,0.766666667,1034.635714,24.6
27/03/2013,2013,21.9047619,26.5,19.3,0.893333333,0.96,0.71,20.02380952,22,18.6,928.7761905,930.6,926,0.538095238,1020.016667,15
18/01/2016,2016,21.4375,27,19.3,0.915,0.95,0.71,19.94166667,22.1,18.4,925.8541667,927.9,923.5,1.391666667,810.8357143,42.6
